"location","hits","keyword","geo","gprop","end.date","start.date"
"Curaçao","","paralysis tick","world","web",2018-04-13,2018-04-06
"Christmas Island","","paralysis tick","world","web",2018-04-13,2018-04-06
"Cayman Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Cyprus","","paralysis tick","world","web",2018-04-13,2018-04-06
"Czechia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Djibouti","","paralysis tick","world","web",2018-04-13,2018-04-06
"Dominica","","paralysis tick","world","web",2018-04-13,2018-04-06
"Denmark","","paralysis tick","world","web",2018-04-13,2018-04-06
"Dominican Republic","","paralysis tick","world","web",2018-04-13,2018-04-06
"Algeria","","paralysis tick","world","web",2018-04-13,2018-04-06
"Ecuador","","paralysis tick","world","web",2018-04-13,2018-04-06
"Eritrea","","paralysis tick","world","web",2018-04-13,2018-04-06
"Western Sahara","","paralysis tick","world","web",2018-04-13,2018-04-06
"Estonia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Ethiopia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Finland","","paralysis tick","world","web",2018-04-13,2018-04-06
"Falkland Islands (Islas Malvinas)","","paralysis tick","world","web",2018-04-13,2018-04-06
"Faroe Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Micronesia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Gabon","","paralysis tick","world","web",2018-04-13,2018-04-06
"Georgia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guernsey","","paralysis tick","world","web",2018-04-13,2018-04-06
"Ghana","","paralysis tick","world","web",2018-04-13,2018-04-06
"Gibraltar","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guinea","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guadeloupe","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guinea-Bissau","","paralysis tick","world","web",2018-04-13,2018-04-06
"Equatorial Guinea","","paralysis tick","world","web",2018-04-13,2018-04-06
"Greece","","paralysis tick","world","web",2018-04-13,2018-04-06
"Grenada","","paralysis tick","world","web",2018-04-13,2018-04-06
"Greenland","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guatemala","","paralysis tick","world","web",2018-04-13,2018-04-06
"French Guiana","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guam","","paralysis tick","world","web",2018-04-13,2018-04-06
"Guyana","","paralysis tick","world","web",2018-04-13,2018-04-06
"Hong Kong","","paralysis tick","world","web",2018-04-13,2018-04-06
"Heard & McDonald Islands","","paralysis tick","world","web",2018-04-13,2018-04-06
"Honduras","","paralysis tick","world","web",2018-04-13,2018-04-06
"Haiti","","paralysis tick","world","web",2018-04-13,2018-04-06
"Hungary","","paralysis tick","world","web",2018-04-13,2018-04-06
"Isle of Man","","paralysis tick","world","web",2018-04-13,2018-04-06
"British Indian Ocean Territory","","paralysis tick","world","web",2018-04-13,2018-04-06
"Iceland","","paralysis tick","world","web",2018-04-13,2018-04-06
"Jamaica","","paralysis tick","world","web",2018-04-13,2018-04-06
"Jersey","","paralysis tick","world","web",2018-04-13,2018-04-06
"Japan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Kazakhstan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Kyrgyzstan","","paralysis tick","world","web",2018-04-13,2018-04-06
"Cambodia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Kiribati","","paralysis tick","world","web",2018-04-13,2018-04-06
"St. Kitts & Nevis","","paralysis tick","world","web",2018-04-13,2018-04-06
"South Korea","","paralysis tick","world","web",2018-04-13,2018-04-06
"Kuwait","","paralysis tick","world","web",2018-04-13,2018-04-06
"Laos","","paralysis tick","world","web",2018-04-13,2018-04-06
"Lebanon","","paralysis tick","world","web",2018-04-13,2018-04-06
"Liberia","","paralysis tick","world","web",2018-04-13,2018-04-06
"St. Lucia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Liechtenstein","","paralysis tick","world","web",2018-04-13,2018-04-06
"Sri Lanka","","paralysis tick","world","web",2018-04-13,2018-04-06
"Lesotho","","paralysis tick","world","web",2018-04-13,2018-04-06
"Lithuania","","paralysis tick","world","web",2018-04-13,2018-04-06
"Luxembourg","","paralysis tick","world","web",2018-04-13,2018-04-06
"Latvia","","paralysis tick","world","web",2018-04-13,2018-04-06
"Macau","","paralysis tick","world","web",2018-04-13,2018-04-06
