"location","keyword","geo","gprop","total.hits","end.date","start.date"
"Newcastle","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Wollongong","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Wagga Wagga","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Central Coast","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Albury","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Port Macquarie","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Queanbeyan","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Sydney","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Wollomombi","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Aldavilla","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Nullamanna","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Milbrulong","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Logans Crossing","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Portland","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Numulgi","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Corindi Beach","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Millthorpe","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Mittagong","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Dondingalong","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Tahmoor","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Berry","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Glen Innes","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Tuckombil","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Narrabri","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Mudgee","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Blackheath","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Wirraba","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Tweed Heads West","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Ballina","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Cowra","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Saint Georges Basin","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Batemans Bay","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Tweed Heads South","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Nowra","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Skinners Shoot","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Coffs Harbour","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Newcastle","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Wollongong","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Wagga Wagga","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Central Coast","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Albury","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Port Macquarie","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Queanbeyan","removing fleas","AU-NSW","web",0,2018-04-05,2018-03-29
"Sydney","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Wollomombi","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Aldavilla","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Nullamanna","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Milbrulong","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Logans Crossing","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Portland","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Numulgi","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Corindi Beach","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Millthorpe","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Mittagong","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Dondingalong","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Tahmoor","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Berry","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Glen Innes","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Tuckombil","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Narrabri","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Mudgee","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Blackheath","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Wirraba","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Tweed Heads West","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Ballina","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Cowra","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Saint Georges Basin","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Batemans Bay","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Tweed Heads South","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Nowra","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Skinners Shoot","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Coffs Harbour","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Newcastle","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Wollongong","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Wagga Wagga","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Central Coast","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Albury","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Port Macquarie","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Queanbeyan","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Giants Creek","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Sandy Creek","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Clothiers Creek","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Warral","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Yippin Creek","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Coraki","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Bargo","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Laguna","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Wildes Meadow","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Wirrimbi","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Kootingal","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Cootamundra","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Ramornie","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Narromine","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Blayney","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Culburra Beach","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"West Nowra","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Faulconbridge","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Emu Heights","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Back Forest","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Leura","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Manton","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Scone","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Forbes","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Wentworth Falls","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Gunnedah","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Broughton","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Bathurst","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Young","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Kingscliff","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Inverell","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Lismore","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Warrimoo","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Moss Vale","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Jamberoo","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Bowral","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Katoomba","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Griffith","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Tamworth","dog flea","AU-NSW","web",0,2018-04-05,2018-03-29
"Jamberoo","ctenocephalides","AU-NSW","web",0,2018-04-05,2018-03-29
"Bemboka","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"South Pambula","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Blaxland","flea infestation","AU-NSW","web",0,2018-04-05,2018-03-29
"Goobarragandra","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Tura Beach","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Lake Innes","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Berry","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Narrabri","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Bilpin","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Tamworth","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Queanbeyan","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Port Macquarie","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Coffs Harbour","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Wollongong","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Newcastle","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
"Sydney","flea prevention","AU-NSW","web",0,2018-04-05,2018-03-29
